code,name,total,workforce2010,workforce2017,policestaff2017,pcsos2017,designatedofficers2017,policeofficers2017,Population2017,policestaff2016,pcsos2016,designatedofficers2016,policeofficers2016,population2016,policestaff2015,pcsos2015,designatedofficers2015,policeofficers2015,population_2015,policestaff2014,pcsos2014,designatedofficers2014,policeofficers2014,population2014,policestaff2013,pcsos2013,designatedofficers2013,policeofficers2013,population_2013,policestaff2012,pcsos2012,designatedofficers2012,policeofficers2012,population2012,policestaff2011,pcsos2011,designatedofficers2011,policeofficers2011,population2011,policestaff2010,pcsos2010,designatedofficers2010,policeofficers2010,population_2010,workforcePercentageChange2010to2017
E23000036,Avon and Somerset,10583,5603,4980,119,19,,159,"1,677,358",120,20,0,162,"1,664,246",121,20,0,166,"1,631,001",114,21,0,173,"1,615,576",111,22,0,179,"1,601,651",103,22,0,187,"1,622,992",114,26,0,200,"1,605,543",117,27,0,207,"1,595,453",11
E23000026,Bedfordshire,4256,2243,2013,119,7,8,168,"666,071",121,5,9,165,"655,184",128,17,13,169,"633,952",110,15,13,163,"625,228",116,15,14,177,"617,215",118,18,14,188,"614,736",130,21,9,201,"605,098",138,19,9,208,"599,237",10
E23000023,Cambridgeshire,4984,2752,2232,85,16,3,158,"851,899",88,16,3,160,"841,361",92,18,3,166,"820,498",95,17,4,168,"814,485",96,22,4,172,"806,967",102,24,3,174,"789,447",113,26,4,180,"778,464",135,27,4,191,"770,239",19
E23000006,Cheshire,7444,3943,3501,119,17,7,192,"1,045,833",113,19,7,193,"1,043,605",111,22,6,189,"1,034,780",110,18,6,187,"1,031,497",121,20,7,196,"1,028,621",123,22,7,199,"1,009,057",134,22,8,207,"1,005,520",147,24,8,215,"1,002,794",11
E23000013,Cleveland,4304,2629,1675,47,22,0,227,"565,198",39,22,0,224,"562,277",35,22,0,237,"559,530",36,27,0,247,"558,471",39,29,0,262,"557,364",40,30,0,271,"563,513",42,32,0,296,"559,994",127,35,0,309,"558,397",36
E23000002,Cumbria,3941,2175,1766,108,18,5,223,"498,655",108,17,6,224,"498,112",119,17,6,229,"498,127",123,17,5,230,"499,004",122,15,7,224,"499,888",135,21,7,228,"494,218",149,21,8,238,"494,988",160,22,6,250,"495,812",19
E23000018,Derbyshire,6706,3614,3092,109,15,9,164,"1,042,683",104,14,10,170,"1,036,598",108,16,10,181,"1,027,517",90,16,9,175,"1,023,924",92,18,9,179,"1,019,625",96,17,11,180,"1,010,851",112,18,12,201,"1,004,583",122,18,13,207,"1,001,058",14
E23000035,Devon and Cornwall,10681,5990,4691,75,18,9,168,"1,734,524",86,20,9,172,"1,720,623",87,20,10,181,"1,692,723",90,23,10,184,"1,682,668",90,25,10,184,"1,671,616",91,21,10,192,"1,680,339",100,21,18,206,"1,671,200",106,22,18,213,"1,667,828",22
E23000039,Dorset,5210,2727,2483,131,17,9,164,"771,951",108,18,8,160,"765,578",113,22,8,169,"754,528",112,21,8,162,"750,016",115,19,6,175,"745,424",120,21,8,193,"715,203",136,23,8,205,"710,006",144,23,7,209,"710,815",9
E23000008,Durham,4703,2602,2101,115,23,15,182,"628,571",116,24,15,178,"625,174",118,25,13,188,"621,598",118,25,11,208,"619,668",109,28,10,220,"618,773",110,28,10,223,"611,602",122,29,6,236,"606,697",146,29,6,249,"605,025",19
W15000004,Dyfed-Powys,3923,1998,1925,113,28,7,225,"515,556",106,26,7,223,"515,965",97,28,7,228,"516,760",109,29,7,217,"516,373",112,28,6,216,"515,086",115,19,5,223,"506,229",127,16,6,229,"506,232",137,16,6,236,"506,865",4
E23000028,Essex,11042,6202,4840,90,5,17,156,"1,807,051",90,12,13,162,"1,787,327",93,15,10,175,"1,752,892",96,17,6,184,"1,741,030",98,19,5,192,"1,728,906",97,22,5,196,"1,737,754",112,23,5,208,"1,720,572",122,26,5,211,"1,705,797",22
E23000037,Gloucestershire,4066,2232,1834,96,16,8,175,"622,286",96,19,8,177,"617,360",96,21,5,192,"605,831",96,20,8,197,"602,387",96,23,6,200,"598,064",107,22,7,204,"593,566",120,24,9,214,"589,347",124,25,8,223,"586,283",18
E23000005,Greater Manchester,23545,13189,10356,111,22,13,227,"2,783,260",111,27,15,228,"2,756,193",117,30,13,247,"2,715,114",114,29,13,259,"2,702,224",114,30,11,268,"2,685,446",117,31,11,285,"2,629,251",138,32,11,300,"2,600,930",152,33,11,316,"2,580,107",21
W15000002,Gwent,4228,2390,1838,81,21,11,202,"583,168",96,26,12,194,"581,887",98,32,14,212,"579,195",103,36,10,230,"577,951",111,41,12,239,"577,282",119,34,15,258,"561,292",129,25,16,268,"560,319",145,26,0,257,"559,247",23
E23000030,Hampshire,11524,6518,5006,72,20,15,147,"1,970,068",73,19,13,148,"1,953,658",77,16,9,159,"1,925,862",82,17,12,170,"1,915,047",94,18,11,179,"1,901,903",94,18,8,182,"1,883,982",105,18,8,196,"1,869,918",122,19,8,202,"1,857,455",23
E23000027,Hertfordshire,7467,4069,3398,90,19,14,166,"1,175,904",92,19,15,165,"1,166,551",94,18,18,167,"1,140,993",98,17,19,171,"1,129,301",104,21,23,174,"1,119,692",111,23,24,179,"1,107,437",123,23,19,187,"1,095,363",137,24,18,196,"1,084,039",16
E23000012,Humberside,6995,4023,2972,103,27,13,177,"927,119",104,24,16,171,"925,140",115,30,25,175,"922,377",129,32,29,185,"921,206",135,32,28,193,"917,995",138,31,29,201,"921,174",145,34,29,213,"917,571",155,35,25,225,"915,015",26
E23000032,Kent,12430,6847,5583,98,16,14,179,"1,820,670",98,16,12,177,"1,801,019",103,20,13,181,"1,764,401",109,20,11,187,"1,748,272",112,17,10,192,"1,731,257",119,20,10,208,"1,683,929",139,22,9,220,"1,665,978",144,23,18,229,"1,655,098",18
E23000003,Lancashire,10865,6034,4831,115,19,0,192,"1,484,375",112,20,0,193,"1,478,058",109,23,0,199,"1,468,936",113,21,0,210,"1,465,458",119,25,0,219,"1,461,135",123,28,0,229,"1,449,197",129,27,0,239,"1,445,701",135,30,0,253,"1,445,040",20
E23000021,Leicestershire,7097,3822,3275,112,22,3,168,"1,072,619",113,20,4,176,"1,055,880",114,23,7,189,"1,033,157",116,23,8,199,"1,025,098",113,22,10,205,"1,018,304",103,24,11,215,"994,012",106,23,11,224,"987,614",117,24,12,236,"983,367",14
E23000020,Lincolnshire,3761,2272,1489,34,14,6,146,"744,521",34,18,6,146,"736,487",38,19,6,152,"724,354",35,20,6,152,"719,016",35,21,6,158,"714,534",107,22,6,162,"702,793",118,21,6,172,"698,105",126,21,5,173,"695,460",34
E23000004,Merseyside,12806,7236,5570,116,19,10,252,"1,403,968",116,21,10,254,"1,397,908",122,25,9,274,"1,386,571",124,23,8,285,"1,385,599",132,27,9,283,"1,380,752",139,31,10,302,"1,353,411",149,33,11,318,"1,350,586",157,35,10,334,"1,350,120",23
E23000001,Metropolitan Police,94389,52515,41874,101,17,7,366,"8,611,202",114,19,7,378,"8,673,689",134,22,9,388,"8,322,523",144,26,9,381,"8,112,801",155,33,9,371,"8,196,984",167,36,7,411,"7,813,556",186,54,6,430,"7,549,157",189,61,4,436,"7,657,103",20
E23000024,Norfolk,5780,3056,2724,106,17,12,170,"891,176",103,19,12,171,"885,270",104,23,11,180,"870,140",105,29,12,183,"865,450",103,29,12,180,"859,370",102,29,12,179,"862,374",108,31,11,187,"853,400",127,32,5,196,"847,255",11
W15000001,North Wales,5185,2667,2518,117,32,5,207,"696,135",124,32,5,210,"694,711",123,35,5,215,"691,939",122,39,5,212,"690,293",122,38,5,215,"688,278",113,32,5,214,"678,368",122,23,6,225,"678,954",129,23,7,234,"678,086",6
E23000009,North Yorkshire,5439,2842,2597,127,22,0,169,"815,385",118,23,0,166,"809,411",122,24,0,173,"805,303",119,23,0,175,"802,846",118,22,0,171,"798,948",115,23,0,175,"802,218",132,23,0,183,"796,241",147,25,0,188,"788,553",9
E23000022,Northamptonshire,4705,2679,2026,99,12,3,162,"733,333",112,14,0,168,"722,853",114,17,6,174,"706,429",110,19,11,177,"700,587",109,18,11,183,"694,131",130,23,1,180,"687,191",156,24,2,191,"683,576",171,24,2,198,"679,446",24
E23000007,Northumbria,11622,6721,4901,93,11,7,228,"1,442,544",93,14,7,232,"1,437,504",97,15,8,246,"1,429,204",99,16,8,256,"1,424,305",93,28,6,264,"1,420,264",103,30,6,274,"1,431,579",135,31,6,289,"1,417,265",143,31,6,298,"1,407,031",27
E23000019,Nottinghamshire,7399,4335,3064,88,15,5,162,"1,133,951",95,19,5,175,"1,124,532",109,29,6,190,"1,107,195",114,30,7,196,"1,098,913",107,28,7,192,"1,090,690",110,24,7,200,"1,086,472",134,25,8,215,"1,077,250",146,25,9,225,"1,069,868",29
W15000003,South Wales,10427,5416,5011,128,31,0,221,"1,315,837",126,30,0,221,"1,306,994",140,32,0,221,"1,294,664",132,37,0,222,"1,289,352",126,34,0,223,"1,283,501",130,24,0,231,"1,260,300",139,24,0,247,"1,254,006",145,27,10,253,"1,246,264",7
E23000011,South Yorkshire,10253,5684,4569,130,15,5,179,"1,387,151",123,16,6,181,"1,374,390",132,23,6,190,"1,358,132",140,25,6,201,"1,352,060",145,25,6,206,"1,343,766",149,22,7,209,"1,328,531",161,24,7,219,"1,317,247",176,25,8,226,"1,307,392",20
E23000015,Staffordshire,6907,3829,3078,95,21,15,145,"1,121,379",97,20,13,149,"1,114,385",102,19,11,155,"1,107,421",98,20,10,157,"1,102,236",96,19,10,167,"1,097,995",103,20,5,182,"1,071,615",111,21,10,195,"1,067,823",123,22,11,203,"1,066,191",20
E23000025,Suffolk,4395,2390,2005,96,13,12,148,"744,595",99,15,8,147,"741,861",103,23,8,156,"735,930",108,25,7,167,"732,469",107,22,8,164,"730,402",115,23,7,163,"719,621",123,23,7,174,"713,812",130,24,7,175,"710,726",16
E23000031,Surrey,7879,4205,3674,123,10,10,169,"1,175,148",121,10,15,166,"1,169,105",130,11,17,162,"1,152,250",139,13,22,169,"1,143,468",149,18,26,173,"1,135,482",152,20,27,175,"1,127,488",162,21,26,169,"1,113,084",166,20,24,172,"1,100,957",13
E23000033,Sussex,10344,5745,4599,109,11,0,154,"1,679,870",110,15,0,160,"1,665,833",112,20,0,172,"1,634,149",120,22,0,173,"1,621,857",119,22,0,177,"1,609,272",119,21,0,188,"1,574,139",125,22,1,199,"1,561,263",138,24,1,207,"1,553,340",20
E23000029,Thames Valley,15265,7935,7330,109,18,9,172,"2,381,395",109,20,8,180,"2,358,314",115,20,9,188,"2,316,391",112,21,9,189,"2,295,835",113,21,10,190,"2,275,089",119,23,12,193,"2,253,570",130,23,11,197,"2,225,545",133,23,3,201,"2,201,709",8
E23000017,Warwickshire,3398,1876,1522,105,18,0,150,"556,667",106,16,0,151,"554,300",102,16,0,151,"548,842",102,17,0,146,"548,131",116,21,0,147,"546,534",110,20,0,157,"536,084",135,25,0,172,"535,003",143,26,0,182,"533,255",19
E23000016,West Mercia,8189,4386,3803,120,19,0,163,"1,260,736",120,18,0,166,"1,249,171",118,17,0,163,"1,235,121",115,19,0,160,"1,229,822",119,20,0,171,"1,223,974",127,23,0,184,"1,192,796",139,23,0,189,"1,189,619",145,24,0,201,"1,186,645",13
E23000014,West Midlands,23384,13104,10280,109,14,0,236,"2,862,712",110,18,0,245,"2,833,639",113,22,0,256,"2,783,573",105,24,0,264,"2,762,735",104,25,0,278,"2,739,661",112,27,0,295,"2,655,060",121,29,0,309,"2,638,677",140,31,0,329,"2,622,249",22
E23000010,West Yorkshire,18648,10060,8588,144,24,0,205,"2,302,439",132,23,0,197,"2,281,612",130,28,0,211,"2,252,358",125,30,0,217,"2,240,766",127,31,0,227,"2,227,301",132,32,0,232,"2,249,457",148,32,0,249,"2,226,515",160,35,0,261,"2,206,925",15
E23000038,Wiltshire,4279,2320,1959,95,15,28,139,"707,194",97,16,24,145,"703,198",104,19,23,146,"693,726",96,19,24,148,"688,534",100,20,26,153,"684,106",101,23,28,160,"661,905",116,20,26,168,"654,853",128,19,28,182,"650,223",16
